package,version
@babel/code-frame,7.29.0
@babel/compat-data,7.29.0
@babel/core,7.29.0
@babel/generator,7.29.1
@babel/helper-compilation-targets,7.28.6
@babel/helper-globals,7.28.0
@babel/helper-module-imports,7.28.6
@babel/helper-module-transforms,7.28.6
@babel/helper-plugin-utils,7.28.6
@babel/helper-string-parser,7.27.1
@babel/helper-validator-identifier,7.28.5
@babel/helper-validator-option,7.27.1
@babel/helpers,7.29.2
@babel/parser,7.29.2
@babel/plugin-transform-react-jsx-self,7.27.1
@babel/plugin-transform-react-jsx-source,7.27.1
@babel/runtime,7.29.2
@babel/template,7.28.6
@babel/traverse,7.29.0
@babel/types,7.29.0
@emotion/babel-plugin,11.13.5
@emotion/cache,11.14.0
@emotion/hash,0.9.2
@emotion/is-prop-valid,1.4.0
@emotion/memoize,0.9.0
@emotion/react,11.14.0
@emotion/serialize,1.3.3
@emotion/sheet,1.4.0
@emotion/styled,11.14.1
@emotion/unitless,0.10.0
@emotion/use-insertion-effect-with-fallbacks,1.2.0
@emotion/utils,1.4.2
@emotion/weak-memoize,0.4.0
@esbuild/aix-ppc64,0.25.12
@esbuild/android-arm,0.25.12
@esbuild/android-arm64,0.25.12
@esbuild/android-x64,0.25.12
@esbuild/darwin-arm64,0.25.12
@esbuild/darwin-x64,0.25.12
@esbuild/freebsd-arm64,0.25.12
@esbuild/freebsd-x64,0.25.12
@esbuild/linux-arm,0.25.12
@esbuild/linux-arm64,0.25.12
@esbuild/linux-ia32,0.25.12
@esbuild/linux-loong64,0.25.12
@esbuild/linux-mips64el,0.25.12
@esbuild/linux-ppc64,0.25.12
@esbuild/linux-riscv64,0.25.12
@esbuild/linux-s390x,0.25.12
@esbuild/linux-x64,0.25.12
@esbuild/netbsd-arm64,0.25.12
@esbuild/netbsd-x64,0.25.12
@esbuild/openbsd-arm64,0.25.12
@esbuild/openbsd-x64,0.25.12
@esbuild/openharmony-arm64,0.25.12
@esbuild/sunos-x64,0.25.12
@esbuild/win32-arm64,0.25.12
@esbuild/win32-ia32,0.25.12
@esbuild/win32-x64,0.25.12
@floating-ui/core,1.7.5
@floating-ui/dom,1.7.6
